Informazioni cronologiche,Hai vinto un buono da 30€. Come lo spendi?,Come ti comporti sui social? ,È ora di cena,Pregando di finire in zona gialla,"Quando ti trovi in una situazione nuova, circondat* da persone che vedi per la prima volta",Ti arrabbi soprattutto quando,Cosa ti preoccupa di più del futuro post-COVID?,Che pizza preferisci?,Sei tesserat* o fai vita associativa?,"Misuriamo l'umore, come ti senti ora?",Pensi che questo stato d'animo si prolungherà nel tempo?,"Secondo te, Bolzano ha bisogno di",Come vedi Bolzano?,"Cosa pensi se dico ""Intelligenza Artificiale""?",Quante ore dormi di solito la notte?,Mappa di Bolzano [Dov'è interessante?],Mappa di Bolzano [Dov'è rilassante?],Mappa di Bolzano [Dove ti incontri con gli amici?],Mappa di Bolzano [Dove non andresti?],Commento,Emozioni [Gioia ],Emozioni [Fiducia],Emozioni [Eccitazione],Emozioni [Ansia],Emozioni [Paura],Emozioni [Rabbia],Emozioni [Disgusto],Emozioni [Sorpresa],Emozioni [Tristezza],Rieccoti la mappa! [Rosso (A)],Rieccoti la mappa! [Arancione (B)],Rieccoti la mappa! [Giallo (C)],Rieccoti la mappa! [Verde (D)],Rieccoti la mappa! [Azzurro (E)],Rieccoti la mappa! [Blu (F)],Rieccoti la mappa! [Viola (G)],Luoghi/emozioni,Genere,Età,Luogo di nascita,"Se alla precedente domanda hai riposto Estero (EU) o Estero (no EU), specifica il paese qui sotto",Luogo di residenza,Livello di istruzione,Lingua madre,Lingue parlate,Stato civile,Con quante persone vivi?,Occupazione,Quanto lavori/studi?
29/01/2021 12.27.05,"Libri, giornali, riviste",6,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedevo l'ora che qualcun* avviasse la conversazione","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Si,"Sistemare la viabilità, Rivedere l'assegnazione delle case popolari","viva, inclusiva, diversa, sociale, ecologica e intergenerazionale (o forse è come la vorrei). Ora la vedo chiusa ma pulsante.",Può essere una valida alleata degli umani,7,5,"1, 2, 3, 4, 5","1, 2",3,,"1, 5","1, 2",5,3,"1, 3",Non so,Non so,"4, 5",Non so,3,4,"1, 2, 4",1,Non so,5,5,,Donna,21-30,Italia,,Bolzano,Laurea specialistica,Italiano,"Tedesco, Inglese",Convivente (anche non formalizzato),Con più di due coinquilin*,Disoccupat*,Tempo pieno
29/01/2021 12.53.48,Articoli per la casa,1,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Rompo il ghiaccio, vado a ruota libera","Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una, I vicini del piano di sopra fanno rumore incessante per tutta la sera","La situazione delle persone a me vicine, La re-impennata degli agenti inquinanti",Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Chissà,Eliminare lo spaccio e la delinquenza,,È una questione delicata che dobbiamo gestire,7,1,2,,4,,,,,,,,,,,,,,,,,,,Non binari*,31-40,Italia,,Milano,"Laurea, Università",Italiano,Inglese,Sposat*,Con partner e figli/e,Lavorator*,Tempo pieno
29/01/2021 13.00.00,"Cosmetica, bellezza, benessere",3,Per fortuna vivo con altre persone che se ne occupano,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, I vicini del piano di sopra fanno rumore incessante per tutta la sera",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Non ho particolari preferenze,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Chissà,Eliminare lo spaccio e la delinquenza,Tranquilla,È una questione delicata che dobbiamo gestire,5,1,3,1,5,,1,3,1,Non so,Non so,Non so,5,1,4,3,4,2,4,2,3,5,,Donna,21-30,Bolzano,,Bolzano,"Laurea, Università",Italiano,Italiano,Single,Con due coinquilin*,Student*,Tempo pieno
29/01/2021 13.27.38,Articoli per la casa,5,Adoro cucinare,"Rimango fedele all'appartamento, il mio habitat del cuore","Rompo il ghiaccio, vado a ruota libera",I vicini del piano di sopra fanno rumore incessante per tutta la sera,La situazione delle persone a me vicine,Capricciosa,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Eliminare lo spaccio e la delinquenza,"
In corsa",È una questione delicata che dobbiamo gestire,8,1,2,1,4,"Relax, facendo una passeggiata vicino Talvera",1,1,Non so,Non so,Non so,5,Non so,4,Non so,1,,4,3,5,,2,Ok,Donna,41-50,Estero (EU),Romania,,Istruzione secondaria/completa,Romeno,"Italiano, Tedesco",Sposat*,,Disoccupat*,Tempo pieno
29/01/2021 14.00.01,Articoli per la casa,5,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Aspetto che mi coinvolgano le altre persone,Vedo una persona che getta una lattina a terra,La mia situazione,Capricciosa,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Eliminare lo spaccio e la delinquenza,Pensierosa.,È una questione delicata che dobbiamo gestire,7,"1, 2","1, 2",5,4,,1,1,2,3,Non so,Non so,3,5,Non so,1,2,3,4,2,5,5,,Uomo,51-60,Estero (EU),Romania,Nova levante BZ.,Collegio di istruzione superiore professionale o tecnica,Rumena,"Italiano, Rumena",Sposat*,Con partner e figli/e,Disoccupat*,Non lavoro e non studio
01/02/2021 14.47.29,"Libri, giornali, riviste",2,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice","La mia situazione, La situazione delle persone a me vicine",Capricciosa,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",polarizzata,È una questione delicata che dobbiamo gestire,8,"1, 2",2,"1, 2",,,1,2,1,,"1, 3",,,Non so,4,,4,,2,3,,,,Donna,21-30,Altro comune Trentino Alto Adige,,Prov. Trento,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese, Francese",Single,,Student*,Part-time
01/02/2021 14.49.11,Musica o film,6,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,Vedo una persona che getta una lattina a terra,La re-impennata degli agenti inquinanti,Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,"Riqualificare/rimuovere i monumenti di epoca fascista, Piantare alberi",seria,Scenari tipo Terminator,5,1,5,1,2,,5,4,2,1,1,1,1,"1, 4",,3,2,2,3,4,5,1,,Uomo,31-40,Italia,,Bolzano,Laurea specialistica,Italiano,Italiano,Sposat*,Con partner e figli/e,Lavorator*,Tempo pieno
01/02/2021 14.54.49,"Cosmetica, bellezza, benessere",6,Adoro cucinare,Imploro un aperitivo con gli amici,"Rompo il ghiaccio, vado a ruota libera","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Penso che tutte le persone al potere vogliono fare solo i loro interessi",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Salsiccia e friarielli,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Chissà,Sistemare la viabilità,Austera,Può essere una valida alleata degli umani,7,"3, 4",2,"2, 3",1,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,"1, 2","1, 2",5,5,"3, 4","3, 4","1, 5",,Donna,31-40,Altro comune Trentino Alto Adige,,Trento,Laurea specialistica,Italiano,"Italiano, Tedesco, Inglese",Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
01/02/2021 14.57.59,Musica o film,2,La pizzeria del cuore è in cima alla lista,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Scopro che un conoscente non paga le tasse",La situazione delle persone a me vicine,Margherita,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Chissà,"Piantare alberi, Sistemare la viabilità",Ignava,Non credo che possa esistere un'Intelligenza Artificiale,6,1,1,1,"3, 4, 5",,Non so,Non so,Non so,5,4,Non so,Non so,Non so,"4, 5",Non so,Non so,Non so,Non so,Non so,Non so,Non so,,Uomo,41-50,Altro comune Trentino Alto Adige,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Separat*/Divorziat*,Da sol*,Lavorator*,Tempo pieno
01/02/2021 15.01.12,Articoli sportivi,7,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La re-impennata degli agenti inquinanti,Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Arrogante,È una questione delicata che dobbiamo gestire,7,1,2,1,4,,1,1,3,"4, Non so",4,"5, Non so","5, Non so",4,5,1,4,4,"1, 2",3,3,5,,Donna,51-60,Altro comune Trentino Alto Adige,,Bolzano,"Laurea, Università",Italiano,Italiano,Sposat*,,Lavorator*,Tempo pieno
